AVAILABILITY & PRICING TEXT FILE,,,,,,,,,,,,,,,,,,,,
Product ID,Product Status,Item Status,Product Description,Description #2,Description #3,Reg Price,P/U Price,SOH,ALC,Avail,PO Date 1,PO Qty 1,PO Date 2,PO Qty 2,PO Date 3,PO Qty 3,PO Date 4,PO Qty 4,PO Date 5,PO Qty 5
B811-EK4N,,Active,B811 4PC. EASTERN KING SET W/ EXTRA NIGHTSTAND,GRAY W/ BLACK VELVET FABRIC,(EK +DR +M +2N),2004,2109,,,17,,,,,,,,,,
B811-EK4NC,,Active,B811 4PC. EASTERN KING SET W/ EXTRA CHEST & NS,GRAY W/ BLACK VELVET FABRIC,(EK +DR +M +2N +C),2526,2658,,,17,,,,,,,,,,
B811-EKB,,Active,B811 EASTERN KING BED,GRAY W/ BLACK VELVET FABRIC,* 4 BOXES *,756,795,,,17,,,,,,,,,,
B811-Q3,,Active,B811 3PC. QUEEN SET,GRAY W/ BLACK VELVET FABRIC,(Q +DR +N),1457,1533,,,27,,,,,,,,,,
B811-Q4C,,Active,B811 4PC. QUEEN SET W/ EXTRA CHEST,GRAY W/ BLACK VELVET FABRIC,(Q +DR +M +N +C),2154,2267,,,27,,,,,,,,,,
B811-Q4N,,Active,B811 4PC. QUEEN SET W/ EXTRA NIGHTSTAND,GRAY W/ BLACK VELVET FABRIC,(Q +DR +M +2N),1865,1963,,,27,,,,,,,,,,
B811-Q4NC,,Active,B811 4PC. QUEEN SET W/ EXTRA CHEST & NS,GRAY W/ BLACK VELVET FABRIC,(Q +DR +M +2N +C),2387,2512,,,27,,,,,,,,,,
B811-QB,,Active,B811 QUEEN BED,GRAY W/ BLACK VELVET FABRIC,* 4 BOXES *,617,649,,,27,,,,,,,,,,
B811CK4,,Active,B811 4PC. CAL. KING SET,GRAY W/ BLACK VELVET FABRIC,* 7 BOXES *,1771,1864,,,26,,,,,,,,,,
B811EK4,,Active,B811 4PC. EASTERN KING SET,GRAY W/ BLACK VELVET FABRIC,* 7 BOXES *,1771,1864,,,17,,,,,,,,,,
